,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,70,28,0.428571424,0.097318769,20.76470588,0.353525323,8.447292482,19.76470588,356,1007,940,1,7.557100298
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,64,33,0.319587626,0.150621118,10.84615385,0.276397516,4.449020545,9.84615385,178,644,604,7,6.656832298
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,66,38,0.269230767,0.116461366,14.78461538,0.361702128,6.058527005,13.78461538,323,893,824,3,7.436730123
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,54,20,0.459459453,0.104667609,10.43243243,0.29844413,4.292350625,9.43243243,211,707,676,17,6.793493635
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,57,21,0.461538456,0.093975904,14.40322581,0.306024096,5.883699961,13.40322581,254,830,792,16,6.990361446
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,44,22,0.333333328,0.111111111,13.35416667,0.28956229,5.457491582,12.35416667,172,594,560,21,6.833333333
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,24,9,0.454545441,0.089918256,10.41025641,0.291553134,4.280723818,9.41025641,107,367,356,7,6.749318801
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0,0,0,,,0,0,0,0,0,0
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,33,11,0.499999989,0.124645892,12.9,0.229461756,5.251784703,11.9,81,353,337,2,6.373937677
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,67,35,0.313725487,0.102512563,15.07042254,0.310552764,6.15239012,14.07042254,309,995,935,11,6.977889447
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,44,60,-0.153846152,0.106995885,11.91208791,0.279835391,4.876769321,10.91208791,272,972,932,1,6.824074074
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,33,18,0.294117641,0.083606557,16.2,0.373770492,6.629508197,15.2,228,610,580,10,7.590163934
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,35,29,0.093749999,0.1,9.583333333,0.2875,3.948333333,8.583333333,184,640,605,6,6.54375
